full_text,created_at
RT @NicoOlsze: 3) ¿O sea que ya tienen una vacuna efectiva y la van a empezar a producir en masa? No. Todavía ni siquiera empezaron las pru…,2020-04-20 22:19:41
"RT @HighWireTalk: ""Developing a vaccine for Covid-19 could be tricky"" RT #Coronavirus vaccine may never be developed, warns expert - but vi…",2020-04-20 21:44:09
RT @TwisterFilm: 10./ The article suggests nothing useful came out of the Cobra meeting. Yet Whitty gave detailed briefings to the press an…,2020-04-20 21:23:32
"RT @Telegraph: ""This just gave me something that I could hold on to that could be helpful.""

Jennifer Haller, 44, is the first person in th…",2020-04-20 21:05:23
RT @Belcourtoi: #ODX This ties up really well with the funding part of things for ODX and also our new partners Mologic and of course the U…,2020-04-20 21:06:06
"@kevcunningham @boucherhayes Yeah to think how close we were to having Paddys day 🤦🏻‍♂️ btw why do you think Ireland’s cases per million population seem so high on Worldometer? 3,170 per 1M pop versus say UK at 1,838. Have we just tested more? Or had better care or is Guinness a vaccine? https://t.co/hvsezhl72x",2020-04-20 21:42:34
RT @Belcourtoi: #ODX This ties up really well with the funding part of things for ODX and also our new partners Mologic and of course the U…,2020-04-20 20:50:11
"RT @FirstSquawk: CHINA RESEARCH TEAM RELEASES FIRST ANIMAL EXPERIMENTAL DATA ON COVID19 VACCINE TRIAL- GLOBAL TIMES

Get our news in real-t…",2020-04-20 21:28:49
"RT @DailyMailUK: MMR vaccine is 'safe and does not cause autism', study finds https://t.co/OIg3YgomJN",2020-04-20 21:45:23
RT @uclnews: A national study called 'Virus Watch' has been launched by UCL &amp; led by Prof Andrew Hayward @UCL_IEHC. It will show how common…,2020-04-20 21:12:58
"🤔.. Yeah, the plot thickens.  2019.  Guess you saw the future ... NO CORONA vaccine is going into my blood stream. ⁦@MattHancock⁩  https://t.co/oATmiblDRZ",2020-04-20 21:41:16
https://t.co/7ieH3uZgXP,2020-04-20 21:41:59
"A typically excellent lpng read from @ShaunLintern on the #coronavirus virus and why more haste and less speed is important especially in the context of anti-vaxxers
#COVID19 #StayAtHome 

https://t.co/oaWRHuAVRo",2020-04-20 21:01:15
RT @Banjomarla: @DoctorChristian Just paying out  compensation now in the UK for that last hasty vaccine for the H1N1  for that Pandemic in…,2020-04-20 21:06:12
@YardleyShooting Its because Mike Bill Gates paid them 5.8 million pounds in 2019 to totally brainwash the UK public into accepting this and his vaccine. The figures are fact  checked; person who originally circulated the tweet has been blocked.,2020-04-20 20:53:44
"RT @EveningStandard: Sir Patrick Vallance has cautioned that the vaccine ""will take time"" https://t.co/CA09Yk13vA",2020-04-20 20:50:08
